tl_x,tl_y,br_x,br_y
1985.63,136.568,2028.76,216.631
3723.15,206.019,3762.77,272.081
3745,201.222,3790.68,282.222
1783.91,156.917,1813.59,190.823
2920.97,154.607,2953.53,196.545
985.297,150.349,1013.58,184.693
991.964,204.245,1045.75,287.307
2981.87,162.165,3009.07,196.009
1793.27,214.842,1857.59,310.092
2630.03,195.944,2684.66,290.944
1601.06,157.053,1629.74,193.178
2239.84,348.024,2307.91,473.399
2275.13,233.789,2332.42,320.789
2353.5,228.882,2402.19,327.195
2690.79,160.259,2714.52,191.759
2802.17,160.477,2831.82,193.883
2512.44,815.539,2674.06,1060.54
3487.65,227.816,3554.08,317.566
1443.67,192.928,1504.39,288.49
3302.18,323.392,3381.5,444.892
1408.3,228.325,1470.24,324.888
2082.38,187.278,2128.7,281.465
1389.5,232.669,1444,327.732
1650.42,134.46,1689.64,189.804
2383.22,155.883,2418.37,195.914
2503.28,156.492,2535.82,195.398
2145.59,196.592,2214.27,281.217
2964.46,244.243,3038.4,350.743
1177.76,148.997,1208.36,185.872
328.896,225.589,377.396,316.339
1236.84,236.406,1298.27,326.469
1215.88,279.554,1267.82,381.804
876.5,238.833,933.907,337.208
2088.75,158.26,2117.37,200.01
2209.97,159.725,2232.54,191.35
3394.42,164.009,3421,202.415
1376.18,199.383,1427.46,288.945
3279.25,165.182,3306.6,200.244
637.562,323.792,711.5,433.917
1365.16,301.671,1431.73,402.921
3097,160.639,3126.25,199.483
