tl_x,tl_y,br_x,br_y
710.471,195.429,763.346,280.679
1977.45,204.124,2020.1,283.624
964.259,297.066,1056.32,419.878
2663.17,283.07,2727.42,393.695
1757.43,203.562,1818.96,279.812
1619.02,168.931,1669.24,255.994
1522.06,170.013,1564.81,242.076
3626.47,194.117,3666.28,262.679
3714.1,213.657,3760.07,266.594
2828.13,263.847,2888.6,370.284
1800.97,174.939,1869.53,256.126
1299.56,168.497,1343.02,245.559
1423.64,168.612,1460.02,242.487
2001.11,147.138,2049.23,208.325
2921.66,153.714,2955.35,199.246
1248.91,218.228,1307.82,300.353
1296.85,294.172,1358.57,405.234
3409.19,138.762,3440.58,201.699
1177.43,144.041,1211.56,189.666
1482.78,208.337,1532.22,299.462
652.309,217.43,726.747,312.18
1581.41,327.992,1662.66,457.617
3163.71,220.911,3207.55,303.786
1242.54,253.041,1317.48,347.978
2182.76,175.654,2227.07,256.904
3788.79,244.302,3810.82,277.802
2191.27,857.071,2345.39,1103.32
2214.02,199.849,2262.11,283.786
