tl_x,tl_y,br_x,br_y
3715.91,214.291,3761.94,266.26
1801.99,200.213,1853.43,270.838
2671.09,1429.18,2823.34,1740.18
1626,1109.25,1884.75,1439
930.546,1165.62,1189.3,1509.62
2156.44,163.334,2178.05,189.396
2998.74,930.397,3154.61,1190.15
1162.34,1177.46,1327.71,1470.46
1175.14,142.045,1215.71,191.233
1499.74,856.74,1640.24,1064.49
3121.11,1070.07,3279.61,1336.57
1156.79,435.966,1258.42,583.466
318.473,522.344,434.848,696.094
2384.66,681.124,2502.6,870.874
1341.83,749.834,1462.02,964.084
413.345,542.783,532.032,718.658
2481.24,601.442,2592.68,786.317
3353.22,171.583,3375.65,200.192
3338.44,171.986,3356.47,195.002
2990.07,151.798,3026,196.986
2919.04,151.724,2958.94,199.38
901.759,901.952,1051.38,1152.45
2395.18,152.111,2435.86,197.611
1333.84,609.209,1436.34,793.334
