tl_x,tl_y,br_x,br_y
3711.89,219.03,3757.67,270.467
757.668,161.291,778.214,190.276
2338.02,1173.29,2597.77,1512.54
2880.08,457.543,2982.02,584.48
2873.9,608.326,2998.9,803.076
2552.97,585.637,2658.97,757.887
1417.05,656.828,1565.67,861.703
601.134,469.805,688.134,610.805
1175.05,148.408,1210.96,193.783
2043.84,153.491,2091.25,238.803
2396.94,380.651,2472.26,490.026
1647.69,284.48,1702.82,394.542
1276.07,350.448,1346.94,466.948
1500.21,361.188,1576.02,480.188
2466.87,402.581,2547.62,532.206
2060.8,351.014,2130.49,462.889
3425.5,350.435,3488.44,469.247
2379.59,285.908,2444.34,391.783
2279.65,282.28,2341.19,393.218
1887.91,384.008,1965.09,518.758
2923.24,158.447,2956.67,201.478
1595.75,585.93,1716.69,763.305
3299,309.335,3366.81,423.773
2328.38,513.259,2432.13,665.384
