tl_x,tl_y,br_x,br_y
3970.99,1633.81,4085.99,2011.06
3716.17,214.572,3761.08,263.385
3431.23,1027.4,3593.1,1302.15
2283.34,474.853,2370.53,618.478
2432.83,173.004,2493.92,268.317
1654.64,132.327,1690.48,187.64
1659.22,885.777,1803.22,1108.53
2922.49,756.68,3099.99,974.93
1945.37,481.98,2037.56,624.98
2707,386.431,2792,524.806
3398.07,167.853,3417.28,199.368
3949.45,608.945,4053.39,789.82
1176.71,149.327,1211.65,186.483
3927.1,441.345,4008.04,580.97
2924.27,154.544,2958.46,196.2
3286.48,169.823,3304.3,194.838
3064.24,704.027,3187.62,905.527
