tl_x,tl_y,br_x,br_y
3709.79,212.127,3761.42,268.908
2999.62,320.07,3070.75,435.008
1884.42,170.683,1906.61,196.417
3310.41,1253.68,3496.54,1555.43
3194.59,541.279,3337.09,711.279
1414.31,668.134,1528.75,855.009
1556.03,607.096,1657.59,790.346
3754.58,693.658,3890.21,896.658
2167.31,173.825,2220.84,258.637
1175.77,144.382,1210.7,190.163
2319.22,434.699,2396.03,577.074
2569.36,344.702,2658.8,469.015
2739.17,680.118,2862.17,878.243
3473.2,397.954,3557.39,521.204
3249.41,687.457,3375.1,873.082
2165.71,311.8,2229.46,432.925
1261.21,390.576,1339.21,519.326
1983.88,493.662,2083.88,650.912
2920.8,155.342,2953.8,197.811
3875.27,515.585,3962.27,646.96
