tl_x,tl_y,br_x,br_y
3711.69,220.411,3760.37,272.974
1930.43,170.02,1956.23,198.364
2582.83,398.883,2660.08,521.258
2573.66,295.928,2642.35,404.803
1645.89,143.773,1682.93,194.836
2976.51,1121.26,3220.26,1439.76
3106.27,386.461,3198.08,510.273
1175.34,154.866,1209.9,196.929
2153.82,166.952,2201.57,255.64
2316.52,300.147,2375.52,409.897
1395.02,546.903,1501.83,712.278
3507.39,476.148,3590.58,616.273
3165.16,650.23,3294.91,833.355
3460.5,621.603,3584.62,813.728
3232.87,419.502,3343,546.94
3168.23,434.976,3246.61,559.351
3295.49,513.695,3399.49,678.695
2082.2,425.662,2160.33,551.974
3423.34,148.167,3456.4,207.136
1240.48,620.473,1368.17,792.223
2922,162.331,2956.19,204.674
1724.83,381.002,1793.89,480.127
2842.98,303.304,2912.67,412.804
4002.77,410.076,4085.59,545.326
2395.46,630.54,2509.21,813.915
