tl_x,tl_y,br_x,br_y
1969.86,151.51,2016.77,228.322
1987.5,152.12,2027.41,225.432
1839.8,152.617,1874.36,212.711
3707.63,212.659,3762.16,269.034
2920.64,155.622,2952.64,198.434
1669.54,196.042,1722.07,286.792
1989.38,130.007,2024.91,200.007
2019.15,137.281,2049.58,202.593
645.019,157.585,679.019,224.835
1896.91,159.998,1952.6,232.31
1773.11,167.922,1823.27,254.422
2030.8,141.703,2066.73,211.578
1921.84,153.243,1970.03,226.993
2198.35,214.078,2247.69,304.14
3441.19,143.814,3472.02,208.689
640.009,134.188,668.916,186.157
3406.08,129.705,3437.29,198.892
1643.79,140.454,1682.48,192.891
1401.86,144.881,1430.58,203.6
1044.78,145.708,1086.59,213.145
2098.44,166.291,2158.29,245.978
2381.91,169.473,2432.75,250.161
1135.02,147.428,1169.02,187.397
1173.84,145.541,1209.4,188.697
2397.81,720.991,2538.44,948.116
2061.06,156.925,2107.03,219.112
2155.32,157.529,2197.98,228.342
2184.77,157.238,2229.43,227.3
2232.09,155.028,2274.69,223.216
2276.5,152.013,2328.34,227.888
2943.3,162.327,2977.3,202.14
