tl_x,tl_y,br_x,br_y
2597.25,301.532,2659.75,420.72
2605.95,1106.17,2793.33,1414.67
2017.45,154.196,2050.8,232.946
793.244,537.019,893.494,708.769
2549.09,528.261,2646.78,697.261
1654.98,130.339,1696.79,191.371
3716.63,214.061,3764.94,265.311
2354,159.574,2384.78,194.106
3311.71,452.644,3384.02,568.644
1174.8,144.166,1210.27,188.447
2456.29,384.699,2539.79,509.386
1257.74,298.675,1313.77,409.05
3670.08,521.418,3758.58,668.043
1642.29,398.673,1715.04,533.173
317.931,411.927,400.181,545.427
2157.3,162.707,2176.61,188.848
1207.71,537.744,1297.15,701.994
1888.96,300.235,1947.96,406.548
1046.65,306.643,1103.78,412.456
2921.59,152.777,2964.34,199.34
531.653,439.532,607.966,581.032
750.635,348.988,815.385,462.113
1695.43,519.677,1790.49,693.177
1435.7,390.377,1547.14,515.127
3307.01,542.419,3405.2,709.669
1142.2,432.843,1228.89,576.218
3412.07,165.65,3436.84,196.853
3354.65,169.364,3377.12,200.208
1563.9,356.897,1637.77,476.96
2235.45,429.903,2317.01,576.653
3336.31,171.607,3354.53,195.326
1350.13,366.764,1415.81,502.264
