tl_x,tl_y,br_x,br_y
3710.2,208.527,3758.3,262.808
1930.78,161.141,1955.92,189.406
3746.47,431.614,3881.59,576.989
2593.76,650.4,2715.64,846.9
2577.32,302.399,2664.76,412.837
2983.26,309.866,3068.45,420.678
3575.68,635.309,3697.31,833.684
2174.8,165.597,2224.02,248.597
1175.58,137.863,1210.95,182.3
3159.24,1161.72,3376.24,1483.72
3250.5,661.859,3372.44,848.484
1450.62,577.536,1547.81,747.161
2102.42,438.369,2197.04,577.869
1387.35,627.528,1493.04,801.028
3333.57,406.936,3413.26,515.561
3447.35,533.262,3546.79,697.137
2318.35,295.712,2382.23,409.462
3529.07,438.455,3611.64,569.705
1491.8,371.548,1582.43,496.86
3909.16,499.192,4015.91,643.817
2920.81,146.337,2956.52,190.618
2585.94,404.235,2669,533.86
