tl_x,tl_y,br_x,br_y
1686.87,407.936,1763.31,526.186
3711.08,208.606,3762.83,267.637
1889.31,424.73,1986.81,554.605
1897.03,278.964,1953.43,390.214
2608.31,1084.72,2852.56,1390.72
1644.96,143.7,1682.87,192.075
1552.97,640.037,1704.72,837.537
3292.76,444.462,3403.19,582.587
1178.83,146.679,1210.35,186.554
2054.32,153.095,2101.35,236.095
2559.26,562.55,2658.89,709.55
2426.32,283.004,2508.26,393.192
2518.41,282.89,2582.25,393.39
1078.85,432.661,1177.48,564.536
3135.52,585.903,3247.2,764.653
3616.15,333.414,3690.96,453.101
2516.83,354.449,2593.71,474.949
3507.5,338.021,3597.75,460.646
219.523,554.618,317.21,708.618
2415.05,397.287,2493.49,526.537
2558.61,360.2,2645.17,488.95
2172.86,367.985,2247.55,494.235
2685.38,487.233,2788.95,637.108
2921.97,154.22,2957.18,196.532
1993.68,458.177,2091.37,606.302
