tl_x,tl_y,br_x,br_y
2736.06,308.729,2790.15,417.917
1882.96,163.466,1907.44,197.998
2757.65,266.506,2816.18,365.443
2656.33,226.727,2734.45,314.915
3712.91,214.254,3756.73,264.473
3045.01,1312.88,3237.38,1654.13
1649.5,137.079,1688.87,200.266
2132.72,137.095,2178.25,216.095
2309.95,292.718,2376.51,397.53
2504.89,296.431,2559.54,396.118
3480.51,377.652,3558.64,512.902
1177,145.085,1213.19,189.866
2978.6,212.077,3053.97,313.64
2093.94,349.377,2159,464.377
3674.72,354.308,3736.16,464.808
2073.55,245.788,2128.01,334.538
2274.58,250.889,2326.74,342.014
3153.08,405.188,3235.96,548.063
3642.89,364.774,3716.27,490.587
2571.47,390.508,2645.47,530.133
3107.37,314.619,3165.62,423.181
2793.44,264.305,2855.13,353.243
3407.29,133.272,3438.78,192.709
2255.53,223.131,2298.75,312.443
2922.09,152.789,2961.31,198.726
3037.21,407.302,3110.64,539.927
3859.44,230.44,3906.88,314.065
2741,239.34,2795.06,327.903
3140.86,306.941,3196.77,407.503
2808.07,320.931,2872.94,434.181
