tl_x,tl_y,br_x,br_y
1589.01,321.575,1651.91,432.7
1882.38,164.478,1908.56,202.26
3183.11,1045.86,3344.11,1330.36
2446.46,229.694,2498.37,327.132
2418.55,299.148,2484.8,409.086
2323.59,199.079,2365.65,285.704
1408.64,142.829,1437.67,175.485
2718.01,263.428,2778.73,363.303
2967.24,204.707,3014.3,287.395
2858.44,285.056,2934,394.868
2766.35,253.845,2822.1,348.283
1178.75,147.62,1215.07,193.526
3368.34,281.513,3442.15,367.825
3225.48,232.807,3281.38,326.995
3723.88,306.384,3786.85,389.884
2921.36,154.763,2954.29,201.544
2104.2,136.102,2139.79,211.289
3087.19,222.951,3135.57,313.014
3604.96,246.672,3656.68,336.11
3259.71,371.35,3329.02,497.413
3631.68,247.342,3698.68,340.467
3278.56,377.864,3348.06,506.489
3763.17,215.599,3808.36,293.224
3270.6,259.938,3328.85,359.125
1810.14,216.529,1861.11,306.029
2518.11,368.145,2585.48,493.708
3848.61,338.734,3909.64,454.359
3903.73,357.903,3982.42,486.403
