tl_x,tl_y,br_x,br_y
3710.49,213.569,3761.99,265.757
2755.22,221.049,2837.97,316.362
3436.09,857.816,3610.96,1115.07
3110.27,413.083,3192.52,549.458
2015.56,214.527,2078.74,317.027
3269.01,362.137,3359.32,480.762
1672.54,248.894,1727.14,347.582
2195.78,145.146,2234.69,221.209
1180.05,147.24,1217.65,189.865
2111.53,221.253,2171.78,318.565
2280.67,349.837,2347.23,467.15
3429.48,167.16,3449.37,199.441
2128.28,286.305,2197.22,398.555
2707.56,452.772,2818.93,614.397
2006.87,412.783,2107.93,554.408
441.247,381.891,529.435,509.204
3861.78,290.007,3951.59,397.882
2165.5,278.16,2222.28,384.285
3170.99,294.829,3251.99,396.267
3309.74,303.041,3375.17,410.041
3268.49,244.735,3334.49,334.985
1981.16,292.391,2064.97,404.703
3933.94,256.778,3985.59,336.653
1529.71,236.991,1591.9,332.553
2925.15,155.098,2959.49,197.442
