tl_x,tl_y,br_x,br_y
1931.95,162.639,1955.06,188.874
1653.34,399.653,1734.4,531.528
2430.44,1102.84,2632.44,1423.84
3712.13,211.707,3759.41,266.3
3101.47,446.225,3196.28,573.725
2290.69,348.684,2356.07,469.996
1177.12,146.54,1209.78,187.571
2434.67,353.235,2501.86,476.11
3407.71,318.158,3492.52,435.533
1438.04,676.261,1557.73,866.386
2044.48,149.728,2083.73,236.103
2407.32,390.283,2492.76,525.783
2476.66,484.099,2572.66,629.099
2424.12,277.931,2486.21,377.181
2351.61,278.941,2413.77,391.253
3455.88,338.851,3530.88,458.163
2428.95,582.405,2553.33,744.28
1448.54,383.005,1525.98,501.38
3029.8,601.789,3140.99,783.664
2062.2,379.236,2152.7,507.861
1764.97,514.224,1860.97,670.474
2921.03,153.479,2956.34,198.01
833.82,437.648,932.757,572.648
1730.16,280.322,1796.85,392.947
