tl_x,tl_y,br_x,br_y
2034.42,142.17,2065.51,178.857
2416.39,522.761,2498.45,638.761
3385.71,129.671,3426.68,199.796
755.708,151.167,782.036,182.761
2918.27,153.096,2953.08,199.752
2602.87,157.344,2636.81,193.438
3137.21,596.373,3235.9,771.498
3003.82,668.901,3108.82,842.026
1925.6,162.037,1947.23,190.177
3171.16,865.258,3329.53,1110.26
2484.24,873.397,2622.99,1124.02
2370.65,206.052,2419.84,274.552
2950.51,769.332,3073.01,976.832
2127.99,163.4,2144.41,187.932
3455.06,843.773,3613.31,1074.77
2559.91,875.661,2693.03,1101.91
1398.43,146.148,1429.62,186.992
2440.2,778.071,2559.26,994.321
2409.32,764.107,2515.01,965.107
1174.74,142.086,1211.02,191.304
