tl_x,tl_y,br_x,br_y
3709.75,210.628,3762.78,266.535
2572.17,294.494,2631.04,396.244
2796.52,159.917,2835.99,227.23
1882.87,135.476,1914.86,201.476
2759.72,196.485,2807.12,281.172
2917.69,152.289,2957.29,199.571
664.483,277.325,727.92,379.325
3223.72,347.039,3300.65,465.164
1888.6,194.826,1933.35,279.201
1771.99,169.38,1813.99,256.63
1398.08,303.27,1458.33,418.395
2490.3,337.082,2567.86,459.644
2231.87,384.204,2339,532.329
1755.15,399.76,1835.28,533.135
1650.72,134.745,1687.69,188.87
604.479,253.93,663.698,352.93
1657.54,390.906,1739.16,537.156
753.303,366.655,843.428,503.405
1230.86,293.953,1311.73,413.266
1004.42,195.869,1051.39,276.494
2296.5,286.492,2357.94,394.805
2369.67,866.638,2549.8,1140.14
3520.36,159.33,3563.73,235.455
2813.72,326.912,2883.41,447.849
3492.84,245.317,3543.43,343.254
1085.43,156.907,1135.33,242.907
1178.41,144.893,1207.11,188.862
248.112,338.499,314.55,456.999
