tl_x,tl_y,br_x,br_y
2604,280.109,2671.75,389.671
3806.34,484.238,3915.53,622.988
759.56,153.373,776.247,180.483
2718.15,273.245,2778.96,381.495
3709.66,206.056,3760.57,261.65
2922.19,149.197,2955.32,190.197
2840.91,1063.87,3053.66,1366.37
3332.19,589.969,3470.69,778.094
932.706,583.008,1034.89,744.008
2879.05,353.226,2983.17,478.913
2794.35,404.904,2892.29,540.404
1644.97,137.666,1686.15,196.197
2441.95,373.943,2507.14,495.568
1176.69,139.913,1209.15,183.038
1973.54,415.03,2056.48,546.405
2191.76,281.154,2285.58,397.404
3026.62,596.567,3124.31,772.692
2110.67,154.248,2159.45,239.373
1816.36,380.431,1910.05,494.806
2740.02,397.376,2853.46,535.251
1338.28,488.852,1418.4,634.852
3785.76,370.77,3856.7,492.707
3116.7,491.139,3222.07,648.264
2148.34,611.447,2257.41,795.947
3172.55,420.039,3264.67,556.664
